월 별,신규 확진,누적 확진
2022.05,155304,4875504
2022.04,1082850,4720342
2022.03,2697351,3637764
2022.02,681617,940703
2022.01,72752,259108
2021.12,52897,186363
2021.11,25016,133472
2021.10,18336,108463
2021.09,19053,90129
2021.08,15301,71081
2021.07,11721,55780
2021.06,4978,44059
2021.05,4885,39081
2021.04,5617,34196
2021.03,5029,28579
